Date,Store,Type,Total
2024-07-12,comercial papelera,papeleria,15400.0
2024-11-08,starbucks,snack,26900.0
2024-09-06,casa ideas,gift,6800.0
2024-09-06,decathalon,gift,108000.0
2024-07-10,falabella,gift,39990.0
2024-07-12,falabella,gift,39990.0
2024-08-31,minca,transportation,2045000.0
2024-12-06,amazon.com,gift,178313.0
2024-11-07,spining center,healthcare,930000.0
2024-07-05,spining center,healthcare,750000.0
2024-08-07,spining center,healthcare,930000.0
2024-06-05,spining center,healthcare,750000.0
2024-08-31,compensar,healthcare,33600.0
2024-09-14,compensar,healthcare,24500.0
2024-10-07,spining center,healthcare,930000.0
2024-11-14,proteina,healthcare,240000.0
2025-03-03,smartfit,healthcare,59900.0
2024-09-07,spining center,healthcare,930000.0
2025-03-03,smartfit,healthcare,89000.0
2024-11-28,aportes en linea,healthcare,376400.0
2024-08-30,aportes en linea,healthcare,386100.0
2024-12-29,aportes en linea,healthcare,376400.0
2024-10-30,eps premium,healthcare,96300.0
2025-01-09,bono colsanitas,healthcare,42900.0
2024-11-06,bono colsanitas,healthcare,42900.0
2024-12-09,farmatodo,healthcare,14150.0
2024-10-02,farmatodo,healthcare,66250.0
2024-11-12,farmatodo,healthcare,152000.0
2024-11-28,farmatodo,healthcare,42230.0
2024-11-28,farmatodo,healthcare,42230.0
2024-11-09,farmatodo,healthcare,105600.0
2025-02-27,farmatodo,healthcare,111200.0
2024-12-17,farmatodo,healthcare,96350.0
2024-12-02,eps premium,healthcare,96300.0
2024-05-30,emermedica,healthcare,145696.0
2024-11-06,emermedica,healthcare,437088.0
2024-08-30,emermedica,healthcare,145696.0
2025-02-27,emermedica,healthcare,145696.0
2024-10-31,bono sanitas,healthcare,30300.0
2024-08-31,vitalhome,healthcare,54500.0
2024-10-15,bono sanitas,healthcare,42900.0
2025-01-02,bono medisanitas,healthcare,60600.0
2024-12-02,bono medisanitas,healthcare,90900.0
2024-12-09,drogeria titan,healthcare,20600.0
2024-11-10,bono medisanitas,healthcare,60600.0
2024-12-08,bono medisanitas,healthcare,30300.0
2024-10-05,bono medisanitas,healthcare,85800.0
2024-10-23,bono medisanitas,healthcare,30300.0
2024-12-01,bono colsanitas,healthcare,42900.0
2025-03-01,bono colsanitas,healthcare,45100.0
2024-10-11,bono eps,healthcare,18200.0
2024-12-10,bono colsanitas,healthcare,42900.0
2024-10-31,bono colsanitas,healthcare,42900.0
2025-03-01,bono colsanitas,healthcare,45100.0
2024-11-09,bono colsanitas,healthcare,42900.0
2024-10-15,bono sanitas,healthcare,42900.0
2025-03-02,aportes en linea,healthcare,412600.0
2024-10-03,farmatodo,healthcare,13750.0
2025-03-03,cruz verde,healthcare,122004.0
2024-11-06,medicines,healthcare,29925.0
2024-11-06,medisanitas,healthcare,364350.0
2024-10-15,medisanitas,healthcare,385350.0
2025-01-29,aportes en linea,healthcare,376400.0
2024-10-16,massaje,healthcare,32000.0
2024-06-20,colsanitas,healthcare,30300.0
2024-09-14,colsanitas,healthcare,54900.0
2024-09-30,cruz verde,healthcare,156550.0
2024-11-09,cruz verde,healthcare,136850.0
2024-08-30,colsanitas,healthcare,385350.0
2024-12-15,cruz verde,healthcare,65503.0
2024-11-09,cruz verde,healthcare,57143.0
2024-12-14,cruz verde,healthcare,26458.0
2024-11-11,casa ideas,home shopping,196500.0
2024-11-11,dollarcity,home shopping,32000.0
2024-11-09,brissa,home shopping,287246.0
2024-11-09,dollarcity,home shopping,84900.0
2024-12-15,dollarcity,home shopping,19000.0
2024-10-02,milagros,home shopping,100000.0
2024-12-07,panamericana,home shopping,124400.0
2024-12-13,easy,home shopping,59440.0
2024-07-04,panamericana,home shopping,55800.0
2024-06-30,cruz verde,healthcare,7600.0
2024-07-03,cruz verde,healthcare,9863.0
2024-07-15,cruz verde,healthcare,64960.0
2024-02-15,farmatodo,healthcare,55400.0
2024-01-16,colsubsidio,healthcare,12500.0
2024-01-21,cruz verde,healthcare,167800.0
2024-01-29,cruz verde,healthcare,8505.0
2024-06-29,clinica del colon,healthcare,73000.0
2023-12-27,cruz verde,healthcare,104105.0
2024-01-09,cruz verde,healthcare,4500.0
2024-06-21,natural light,healthcare,66800.0
2024-06-11,farmatodo,healthcare,23800.0
2024-07-29,cruz verde,healthcare,149183.0
2024-12-06,vital home,healthcare,54900.0
2024-11-08,vital home,healthcare,166200.0
2024-11-15,vital home,healthcare,30000.0
2024-11-22,vital home,healthcare,28000.0
2024-11-08,vitalhome,healthcare,350000.0
2024-11-29,vitalhome,healthcare,131500.0
2024-11-29,vitalhome,healthcare,336000.0
2024-08-30,vitalhome,healthcare,290000.0
2024-11-22,vitalhome,healthcare,198000.0
2024-12-27,tienda palera,papeleria,15000.0
2024-08-02,central parking,parking,1300.0
2024-10-05,parking,parking,600.0
2025-01-29,prestamo,prestamo,400000.0
2024-10-25,goyurt,restaurant,11900.0
2023-12-16,hornitos,restaurant,82400.0
2024-12-03,fullcarga,restaurant,79200.0
2024-07-21,fusion urban food,restaurant,111800.0
2024-11-07,hornitos,restaurant,19700.0
2024-07-15,michelle,restaurant,14800.0
2024-12-17,gurus,restaurant,55014.0
2024-12-17,gurus,restaurant,12600.0
2024-12-15,gurus,restaurant,33596.0
2024-10-10,gurus,restaurant,97519.0
2024-07-07,gurus,restaurant,38398.560000000005
2024-06-10,gurus,restaurant,43392.0132
2024-11-08,godo burger,restaurant,126060.0
2024-06-23,gurus,restaurant,47299.99680000001
2023-12-17,gurus,restaurant,61714.81
2024-11-06,gordo bar,restaurant,196448.0
2024-12-12,gordo bar,restaurant,202130.0
2023-12-29,gurus,restaurant,68804.0
2023-12-10,gurus,restaurant,44128.69
2025-03-02,guatoque,restaurant,187489.0
2024-11-15,la taqueria,restaurant,232613.0
2024-10-16,buffalo wings,restaurant,178535.0
2024-09-06,brasa roja,restaurant,46800.0
2024-12-08,fillet station,restaurant,34200.0
2025-03-07,fillet station,restaurant,32800.0
2024-10-17,fillet station,restaurant,52700.0
2025-01-10,fillet station,restaurant,58600.0
2025-03-06,fillet station,restaurant,23900.0
2024-07-17,burger king,restaurant,8600.0
2025-03-08,morrillos,restaurant,139306.0
2024-10-04,oma,restaurant,11800.0
2024-11-10,oma,restaurant,11800.0
2024-08-26,oma,restaurant,13800.0
2024-08-13,oxxo,restaurant,11900.0
2024-01-29,burger king,restaurant,69400.0
2024-08-26,burger king,restaurant,8500.0
2025-03-07,burger king,restaurant,9900.0
2024-10-07,oxxo,restaurant,6600.0
2023-12-01,mis carnes parrilla,restaurant,16900.0
2024-07-10,fillet station,restaurant,19900.0
2024-09-01,foodology,restaurant,13900.0
2024-09-05,burger king,restaurant,8500.0
2024-10-13,bubu burger,restaurant,127500.0
2024-08-03,buffalo wings,restaurant,156180.36
2024-09-12,buffalo wings,restaurant,159299.35
2024-08-09,buffalo wings,restaurant,12500.0
2023-11-28,buffalo wings,restaurant,123025.0
2024-01-05,buffalo wings,restaurant,105600.0
2024-02-21,buffalo wings,restaurant,12900.0
2024-11-14,michelle,restaurant,14800.0
2024-06-20,hornitos,restaurant,26600.0
2024-11-07,burger king,restaurant,9000.0
2024-10-02,burger king,restaurant,110300.0
2024-08-05,burger king,restaurant,8500.0
2024-07-04,burger king,restaurant,8500.0
2024-08-12,burger king,restaurant,8500.0
2024-08-24,michelle,restaurant,14800.0
2023-11-30,mis carnes parrilla,restaurant,46800.0
2024-10-17,burger king,restaurant,9000.0
2024-11-06,hornitos,restaurant,13600.0
2024-11-10,mcdonalds,restaurant,89760.0
2024-12-12,hornitos,restaurant,59350.0
2025-03-05,little caesar,restaurant,46300.0
2024-08-10,alpina,restaurant,7500.0
2024-11-09,mazorcas,restaurant,14000.0
2024-08-11,mcdonalds,restaurant,75800.62
2024-08-31,mcdonalds,restaurant,77800.0
2025-03-08,mcdonalds,restaurant,71800.0
2024-05-23,little caesar,restaurant,57800.0
2024-09-08,mcdonalds,restaurant,85700.41
2024-08-05,mcdonalds,restaurant,75800.62
2024-08-31,archies,restaurant,139100.0
2024-08-12,archies,restaurant,111100.0
2024-10-15,jumbo,restaurant,59020.0
2024-12-13,archies,restaurant,133900.0
2024-07-31,archies,restaurant,118000.0
2024-11-22,mcdonalds,restaurant,60640.0
2024-12-01,le patissier,restaurant,39900.0
2024-12-01,le grand mamma,restaurant,183556.0
2023-12-05,andres dc,restaurant,57300.0
2024-08-30,la taqueria,restaurant,165999.996
2024-12-19,la taqueria,restaurant,272000.0
2024-12-17,la lucha sangucheria,restaurant,83501.0
2024-10-12,la birra del gordo,restaurant,102000.0
2025-02-28,la birra del gordo,restaurant,92300.0
2024-11-07,la biferia,restaurant,220048.0
2024-11-28,la biferia,restaurant,170226.0
2024-11-28,la biferia,restaurant,170226.0
2024-11-14,la75,restaurant,15900.0
2024-05-11,kutty,restaurant,44399.0
2024-09-29,kutty,restaurant,43000.0
2024-10-06,kutty,restaurant,44500.0
2024-10-13,kutty,restaurant,46800.0
2025-03-08,kutty,restaurant,61950.0
2024-11-29,ko,restaurant,255120.0
2024-06-01,archies,restaurant,127600.0
2024-07-13,archies,restaurant,84200.0
2024-07-04,archies,restaurant,115000.0
2024-02-11,archies,restaurant,58400.0
2024-01-21,mcdonalds,restaurant,75800.0
2024-02-06,mcdonalds,restaurant,75800.0
2024-12-19,la taqueria,restaurant,271619.0
2024-10-07,mcdonalds,restaurant,76800.0
2024-01-24,juan valdez,restaurant,15000.0
2023-12-01,juan valdez,restaurant,8800.0
2024-06-22,juan valdez,restaurant,20300.0
2024-12-11,alparke,restaurant,84000.0
2024-06-16,merengazo,restaurant,17000.0
2024-12-09,hornitos,restaurant,24200.0
2025-03-03,hornitos,restaurant,94100.0
2025-03-01,hornitos,restaurant,50150.0
2024-10-16,hornitos,restaurant,7400.0
2024-11-10,hornitos,restaurant,61750.0
2024-11-01,hornitos,restaurant,5000.0
2023-12-12,mcdonalds,restaurant,69800.0
2024-11-06,hornitos,restaurant,42800.0
2024-01-17,mcdonalds,restaurant,75800.0
2024-01-08,mcdonalds,restaurant,90700.0
2024-12-08,arepas y embueltos,restaurant,35100.0
2024-12-07,arepas y embueltos,restaurant,19100.0
2024-09-05,mcdonalds,restaurant,72010.0
2024-12-18,bacu,restaurant,54193.0
2025-02-04,bacu,restaurant,11900.0
2024-02-01,mcdonalds,restaurant,75800.0
2024-12-10,bacu,restaurant,117453.0
2024-11-13,mcdonalds,restaurant,77800.0
2024-02-18,mcdonalds,restaurant,75800.0
2025-02-27,bacu,restaurant,67686.0
2024-12-15,bacu,restaurant,131220.0
2024-10-15,mcdonalds,restaurant,48800.0
2024-06-14,bacu,restaurant,93400.0
2025-03-01,bacu,restaurant,119093.0
2024-08-31,bagel shop,restaurant,63000.0
2023-12-05,mcdonalds,restaurant,6900.0
2024-08-10,charlotte pasteleria,restaurant,32700.0
2024-12-07,,restaurant,27800.0
2024-12-13,,restaurant,48485.0
2024-07-15,semolina,restaurant,143099.9568
2024-07-16,rey guerrero,restaurant,155000.0
2024-12-11,reserva tramonti,restaurant,120000.0
2024-10-06,rappi,restaurant,82900.0
2024-12-15,rappi,restaurant,98700.0
2024-09-08,rappi,restaurant,11400.0
2024-07-30,randys,restaurant,95800.0
2024-02-04,randys,restaurant,62400.0
2024-06-11,randys,restaurant,71800.0
2024-07-17,randys,restaurant,35900.0
2024-09-11,randys,restaurant,104700.0
2024-08-20,randys,restaurant,113600.0
2024-08-22,randys,restaurant,47900.0
2024-01-10,randys,restaurant,146600.0
2024-01-31,randys,restaurant,71800.0
2025-03-04,randys,restaurant,97800.0
2024-01-04,randys,restaurant,88300.0
2023-11-23,randys,restaurant,73300.0
2024-11-26,randys,restaurant,47900.0
2024-11-19,randys,restaurant,56400.0
2024-11-14,randys,restaurant,95800.0
2024-11-05,semolina,restaurant,227478.0
2024-06-15,semolina,restaurant,153055.44
2024-12-11,semolina,restaurant,91341.0
2024-12-14,sipote burrito,restaurant,104340.0
2024-10-03,vending machine,restaurant,1500.0
2024-10-07,tostao,restaurant,8800.0
2024-10-10,tostao,restaurant,6800.0
2024-10-05,tostao,restaurant,5300.0
2024-08-30,torta francesa,restaurant,14100.0
2023-12-01,tipicas,restaurant,12800.0
2025-03-09,suizo pontevedra,restaurant,4000.0
2025-03-09,suizo pontevedra,restaurant,37000.0
2024-11-07,sushi nogal,restaurant,15900.0
2024-11-10,subway,restaurant,57900.0
2024-11-11,randys,restaurant,47900.0
2024-10-04,subway,restaurant,25100.0
2024-11-09,street bao,restaurant,105000.0
2023-12-21,steak,restaurant,24900.0
